Asset Name,Par,Mkt Value,Price,Coupon,Yield To Maturity,Time To Maturity,Coupon Frequency
APPLE INC 0% 20200323,100,991.1101,99.1110,0.0000,0.0183,0.4873,1
APPLE INC 0% 20200401,100,990.6582,99.0658,0.0000,0.0185,0.5120,1
APPLE INC 0% 20200430,100,988.8350,98.8835,0.0000,0.0190,0.5914,1
APPLE INC 2% 20201113,100,1009.6426,100.2198,0.0200,0.0182,1.1307,2
APPLE INC 2.25% 20210223,100,1006.8506,100.4726,0.0225,0.0190,1.4100,2
APPLE INC 2.5% 20220209,100,1017.0016,101.3668,0.0250,0.0183,2.3710,2
APPLE INC 2.7% 20220513,100,1032.3958,102.2346,0.0270,0.0185,2.6256,2
APPLE INC 2.1% 20220912,100,1008.4192,100.7544,0.0210,0.0186,2.9596,2
APPLE INC 2.85% 20230223,100,1033.2226,103.0531,0.0285,0.0194,3.4086,2
APPLE INC 2.85% 20240511,100,1047.9265,103.7160,0.0285,0.0203,4.6215,2
APPLE INC 3.2% 20250513,100,1071.9970,106.0086,0.0320,0.0210,5.6263,2
APPLE INC 2.45% 20260804,100,1019.3263,101.5719,0.0245,0.0222,6.8528,2
APPLE INC 3.2% 20270511,100,1073.2221,106.1133,0.0320,0.0235,7.6194,2
APPLE INC 3% 20271113,100,1061.1553,104.9989,0.0300,0.0233,8.1287,2
APPLE INC 2.2% 20290911,100,981.7974,98.0820,0.0220,0.0241,9.9576,2
APPLE INC 4.5% 20360223,100,1222.8728,121.8623,0.0450,0.0284,16.4079,2
APPLE INC 3.85% 20430504,100,1138.0680,112.2775,0.0385,0.0314,23.6003,2
APPLE INC 4.45% 20440506,100,1233.2824,121.5853,0.0445,0.0319,24.6078,2
APPLE INC 3.45% 20450209,100,1062.0472,105.7447,0.0345,0.0312,25.3717,2
APPLE INC 4.15% 20460622,100,1017.8330,100.6882,0.0415,0.0412,26.7351,2
APPLE INC 4.3% 20470303,100,1007.3907,100.4524,0.0430,0.0428,27.4305,2
APPLE INC 3.75% 20471113,100,1130.1657,111.6207,0.0375,0.0316,28.1287,2
APPLE INC 2.95% 20490911,100,977.8268,97.6516,0.0295,0.0307,29.9576,2
