date,Hedge Fund A,Hedge Fund B,Hedge Fund C,Hedge Fund D,Hedge Fund E
31/01/2003,0,0,2.47,0.66,0
28/02/2003,0,0,0.43,0.56,0
31/03/2003,0,0,1.6,0.57,0
30/04/2003,0,0,2.09,1.04,0
31/05/2003,0,0,2.97,1.14,0
30/06/2003,0,0,1.1,1.27,0
31/07/2003,0,0,1.34,0.6,0
31/08/2003,0,0,0.38,1.04,0
30/09/2003,8.13,0,2.1,0.79,0
31/10/2003,-5.24,0,1.61,0.23,0
30/11/2003,-4.4,0,2.87,0.44,0
31/12/2003,3.95,0,1.74,1.01,0
31/01/2004,-5.76,9.26,2.68,1.65,0
29/02/2004,1.45,1.46,1.42,1.75,0
31/03/2004,8.54,7.76,0.43,0.69,0
30/04/2004,-2.01,9.06,1.38,0.63,0
31/05/2004,-0.33,-3.76,-0.13,1.12,0
30/06/2004,0.14,0.99,0.95,0.15,0
31/07/2004,-1.97,8.52,0.19,0.49,0
31/08/2004,1.39,5.05,0.25,0.64,0
30/09/2004,-0.82,10.1,2.27,0.95,0
31/10/2004,6.37,9.72,0.15,0.96,0
30/11/2004,7.24,9.6,4,1.62,0
31/12/2004,1.43,4.73,5.55,1.77,0
31/01/2005,-6.37,16.68,0.27,0.83,0
28/02/2005,2.93,11.76,0.83,1.08,0
31/03/2005,-3.65,6.12,0.56,0.86,0
30/04/2005,-1.56,6.93,-0.49,0.17,0
31/05/2005,1.93,4.58,1.01,0.49,0
30/06/2005,-0.51,12.18,3.4,1.22,0
31/07/2005,0.31,-0.25,3.69,1.54,0
31/08/2005,1.16,6.49,-0.96,0.83,0
30/09/2005,-2.12,7.61,0.74,0.94,0
31/10/2005,-4.72,2.91,-2.98,0.04,0
30/11/2005,-3.4,1.81,-0.56,1.48,0
31/12/2005,2.75,9.15,2.15,1.84,0
31/01/2006,3.32,16.45,-1.02,2.47,0
28/02/2006,0.74,-2.2,3.81,1.29,0
31/03/2006,0.51,-9.55,0.98,1.51,0
30/04/2006,3.61,-12.92,1.28,1.59,0.99
31/05/2006,-4.34,-15.43,1.57,0.07,0.18
30/06/2006,-3.34,6.46,0.44,0.52,0.02
31/07/2006,1.45,-2.45,-0.77,0.88,1.54
31/08/2006,-6.34,6.57,1.48,0.71,1.09
30/09/2006,-6.38,1.97,0.54,0.14,-1.55
31/10/2006,0.17,-5.05,1.4,1.77,1.92
30/11/2006,1.01,-8.62,1.27,1.51,-0.12
31/12/2006,-2.46,1.56,1.24,1.42,2.31
31/01/2007,-3.07,-7.92,-1.97,1.45,2.31
28/02/2007,2.27,12.79,1.47,1,0.25
31/03/2007,-4.96,-1.91,0.72,0.94,1.11
30/04/2007,-5.77,-0.92,0.95,0.85,1.15
31/05/2007,-5.94,2.1,2.05,1.13,4.07
30/06/2007,0.25,-2.97,0.18,0.76,-1.4
31/07/2007,5.18,6.71,0.26,0.07,6.14
31/08/2007,6.96,0.88,1.53,-0.8,0.3
30/09/2007,2.15,4.84,1.66,0.78,0.06
31/10/2007,3.56,9.35,3.41,2.11,1.45
30/11/2007,7.91,7.48,-2.12,0.32,-0.5
31/12/2007,-0.65,12.28,0.38,0.86,0.87
31/01/2008,8.59,-7.77,-1.38,0.31,-2.8
29/02/2008,7.15,5.99,0.84,1.57,1.52
31/03/2008,-1.97,-3.64,-2.62,-0.99,-0.75
30/04/2008,-9.38,8.35,-0.19,0.09,-2.7
31/05/2008,-5.33,-5.98,1.36,1.64,1.05
30/06/2008,-2.42,-5.71,-0.89,0.81,1.17
31/07/2008,6.12,-6.89,0.71,-0.55,-3.7
31/08/2008,7.18,-3.76,0.99,-0.06,1.68
30/09/2008,9.24,-15.53,-7.75,-4.42,-6.75
31/10/2008,7.44,-26.02,-12.81,-0.66,0.25
30/11/2008,10.21,-14.71,-6.42,0.11,-5.36
31/12/2008,3.08,4.59,-0.44,-0.46,0.22
31/01/2009,5.48,-8.58,1.53,2.84,0.76
28/02/2009,0.97,-5.53,-0.71,0.89,-1.71
31/03/2009,0.43,10.28,-0.04,0.34,0.89
30/04/2009,-0.66,20.26,2.99,0.97,-1.83
31/05/2009,1.85,8.66,3.62,1.85,8.32
30/06/2009,-7.12,-3.66,1.6,0.96,1.66
31/07/2009,3.19,8.34,1.76,0.2,-0.38
31/08/2009,-0.7,1.65,2.06,1.02,7.17
30/09/2009,3.01,6.69,3.08,1.25,2.07
31/10/2009,1.45,-0.76,0.61,1.51,1.01
30/11/2009,4.09,-5.94,1.17,0.89,2.38
31/12/2009,2.52,1.06,2.77,1.67,2.82
31/01/2010,1.79,4.87,3.42,1.29,0.82
28/02/2010,1.93,0.85,0.81,1.02,-0.21
31/03/2010,3.23,4.18,2.91,1.22,0.06
30/04/2010,5.8,2.92,2.5,0.92,0.85
31/05/2010,-2.2,-11.68,-0.65,-1.09,-1.91
30/06/2010,3.98,-3.34,0.39,-0.92,-0.34
31/07/2010,-1.38,0.13,0.32,1.13,0.03
31/08/2010,0.17,-0.16,0.75,1.04,1.02
30/09/2010,1.85,0.63,2.3,2.32,2.87
31/10/2010,-1.36,1.24,1.94,1.49,2.52
30/11/2010,1.58,3.79,0.26,1.4,2.72
31/12/2010,-1.03,0.75,2.48,1.49,0.8
