Date,Alphabet A/d,Amazon.com Inc,Apple Computer Inc,Facebook Inc/d,Microsoft Corp
06/24/2019,1116.70,1913.90,198.58,192.60,137.78
06/25/2019,1087.58,1878.27,195.57,188.84,133.43
06/26/2019,1080.32,1897.83,199.80,187.66,133.93
06/27/2019,1076.63,1904.28,199.74,189.50,134.15
06/28/2019,1082.80,1893.63,197.92,193.00,133.96
07/01/2019,1100.00,1922.19,201.55,193.00,135.68
07/02/2019,1112.60,1934.31,202.73,195.00,136.58
07/03/2019,1122.99,1939.00,204.41,197.20,137.46
07/04/2019,1122.99,1939.00,204.41,197.20,137.46
07/05/2019,1132.67,1942.91,204.23,196.40,137.06
07/08/2019,1116.79,1952.32,200.02,195.76,136.96
07/09/2019,1124.29,1988.30,201.24,199.21,136.46
07/10/2019,1140.91,2017.41,203.23,202.73,137.85
07/11/2019,1144.08,2001.07,201.75,201.23,138.40
07/12/2019,1145.34,2011.00,203.30,204.87,138.90
07/15/2019,1150.51,2020.99,205.21,203.91,138.90
07/16/2019,1153.46,2009.90,204.50,203.84,137.08
07/17/2019,1146.74,1992.03,203.35,201.80,136.27
07/18/2019,1147.24,1977.90,205.66,200.78,136.42
07/19/2019,1131.55,1964.52,202.59,198.36,136.62
07/22/2019,1139.21,1985.63,207.22,202.32,138.43
07/23/2019,1148.05,1994.49,208.84,202.36,139.29
07/24/2019,1139.73,2000.81,208.67,204.66,140.72
07/25/2019,1135.94,1973.82,207.02,200.71,140.19
07/26/2019,1245.22,1943.05,207.74,199.75,141.34
07/29/2019,1241.84,1912.45,209.68,195.94,141.03
07/30/2019,1228.00,1898.53,208.78,197.04,140.35
07/31/2019,1218.20,1866.78,213.04,194.23,136.27
08/01/2019,1211.78,1855.32,208.43,192.73,138.06
08/02/2019,1196.32,1823.24,204.02,189.02,136.90
08/05/2019,1154.75,1765.13,193.34,181.73,132.21
08/06/2019,1171.08,1787.83,197.00,184.51,134.69
08/07/2019,1175.91,1793.40,199.04,185.15,135.28
08/08/2019,1206.19,1832.89,203.43,190.16,138.89
08/09/2019,1188.90,1807.58,200.99,187.85,137.71
08/12/2019,1174.50,1784.92,200.48,185.37,135.79
08/13/2019,1196.73,1824.34,208.97,188.45,138.60
08/14/2019,1164.25,1762.96,202.75,179.71,133.98
08/15/2019,1169.32,1776.12,201.74,182.59,133.68
08/16/2019,1179.21,1792.57,206.50,183.70,136.13
08/19/2019,1200.44,1816.12,210.35,186.17,138.41
08/20/2019,1183.53,1801.38,210.36,183.81,137.26
08/21/2019,1191.58,1823.54,212.64,183.55,138.79
08/22/2019,1191.52,1805.60,212.46,182.04,137.78
08/23/2019,1153.58,1749.62,202.64,177.75,133.39
08/26/2019,1171.18,1768.87,206.49,180.36,135.45
08/27/2019,1170.82,1761.83,204.16,181.30,135.74
08/28/2019,1173.75,1764.25,205.53,181.76,135.56
08/29/2019,1194.24,1786.40,209.01,185.57,138.12
08/30/2019,1190.53,1776.29,208.74,185.67,137.86
09/02/2019,1190.53,1776.29,208.74,185.67,137.86
09/03/2019,1169.55,1789.84,205.70,182.39,136.04
09/04/2019,1182.27,1800.62,209.19,187.14,137.63
09/05/2019,1212.19,1840.72,213.28,190.90,140.05
09/06/2019,1206.32,1833.51,213.26,187.49,139.10
09/09/2019,1205.27,1831.35,214.17,188.76,137.52
09/10/2019,1205.70,1820.55,216.70,186.17,136.08
09/11/2019,1220.00,1822.99,223.59,188.49,136.12
09/12/2019,1234.97,1843.55,223.09,187.47,137.52
09/13/2019,1240.03,1839.34,218.75,187.19,137.32
09/16/2019,1231.63,1807.84,219.90,186.22,136.33
09/17/2019,1229.88,1822.55,220.70,188.08,137.39
09/18/2019,1232.65,1817.46,222.77,188.14,138.52
09/19/2019,1238.75,1821.50,220.96,190.14,141.07
09/20/2019,1229.84,1794.16,217.73,189.93,139.44
09/23/2019,1234.69,1785.30,218.72,186.82,139.14
09/24/2019,1218.33,1741.61,217.68,181.28,137.38
09/25/2019,1245.94,1768.33,221.03,182.80,139.36
09/26/2019,1242.29,1739.84,219.89,180.11,139.54
09/27/2019,1225.95,1725.45,218.82,177.10,137.73
09/30/2019,1221.14,1735.91,223.97,178.08,139.03
10/01/2019,1206.00,1735.65,224.59,175.81,137.07
10/02/2019,1177.92,1713.23,218.96,174.60,134.65
10/03/2019,1189.43,1724.42,220.82,179.38,136.28
10/04/2019,1210.96,1739.65,227.01,180.45,138.12
10/07/2019,1208.25,1732.66,227.06,179.68,137.12
10/08/2019,1190.13,1705.51,224.40,177.75,135.67
10/09/2019,1202.40,1721.99,227.03,179.85,138.24
10/10/2019,1209.47,1720.26,230.09,180.03,139.10
10/11/2019,1215.71,1731.92,236.21,184.19,139.68
10/14/2019,1217.77,1736.43,235.87,183.28,139.55
10/15/2019,1242.24,1767.38,235.32,188.89,141.58
10/16/2019,1243.00,1777.43,234.37,189.55,140.41
10/17/2019,1252.80,1787.48,235.28,190.39,139.69
10/18/2019,1244.41,1757.51,236.41,185.85,137.41
10/21/2019,1244.28,1785.66,240.51,189.76,138.43
10/22/2019,1241.20,1765.73,239.96,182.34,136.37
10/23/2019,1257.63,1762.17,243.18,186.15,137.24
10/24/2019,1259.11,1780.78,243.58,186.38,139.94
10/25/2019,1264.30,1761.33,246.58,187.89,140.73
10/28/2019,1288.98,1777.08,249.05,189.40,144.19
10/29/2019,1260.66,1762.71,243.29,189.31,142.83
10/30/2019,1260.70,1779.99,243.26,188.25,144.61
10/31/2019,1258.80,1776.66,248.76,191.65,143.37
11/01/2019,1272.25,1791.44,255.82,193.62,143.72
11/04/2019,1289.61,1804.66,257.50,194.72,144.55
11/05/2019,1291.44,1801.71,257.13,194.32,144.46
11/06/2019,1291.01,1795.77,257.24,191.55,144.06
11/07/2019,1306.94,1788.20,259.43,190.42,144.26
11/08/2019,1309.00,1785.88,260.14,190.84,145.96
11/11/2019,1298.28,1771.65,262.20,189.61,146.11
11/12/2019,1297.21,1778.00,261.96,194.47,147.07
11/13/2019,1296.18,1753.11,264.47,193.19,147.31
11/14/2019,1309.15,1754.60,262.64,193.15,148.06
11/15/2019,1333.54,1739.49,265.76,195.10,149.97
11/18/2019,1319.84,1752.53,267.10,197.40,150.34
11/19/2019,1312.59,1752.79,266.29,199.32,150.39
11/20/2019,1301.86,1745.53,263.19,197.51,149.62
11/21/2019,1300.14,1734.71,262.01,197.93,149.48
11/22/2019,1293.67,1745.72,261.78,198.82,149.59
11/25/2019,1305.64,1773.84,266.37,199.79,151.23
11/26/2019,1313.00,1796.94,264.29,198.97,152.03
11/27/2019,1312.13,1818.51,267.84,202.00,152.32
11/28/2019,1312.13,1818.51,267.84,202.00,152.32
11/29/2019,1304.09,1800.80,267.25,201.64,151.38
12/02/2019,1288.86,1781.60,264.16,199.70,149.55
12/03/2019,1294.74,1769.96,259.45,198.82,149.31
